Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
06:17.1,0 days 00:19:12.426000,,1.548518068,0 days 00:06:07.659000,5045,49,1,0,FALSE,8,pos,14316.16039,0.156825361,OnTrack,-735,-1083,656
06:17.2,0 days 00:19:12.490000,,1.548164683,0 days 00:06:07.723000,4889,48,1,0,FALSE,8,car,14316.99472,0.1568345,OnTrack,-733.4581877,-1075.196015,655.4583049
06:17.3,0 days 00:19:12.606000,,1.547929092,0 days 00:06:07.839000,5160,47,1,4,FALSE,8,pos,14318.48604,0.156850837,OnTrack,-731,-1059,654
06:17.6,0 days 00:19:12.905000,,1.547693502,0 days 00:06:08.138000,5431,46,1,9,FALSE,8,pos,14322.27879,0.156892384,OnTrack,-734,-1018,649
06:17.7,0 days 00:19:12.970000,,1.547457912,0 days 00:06:08.203000,5703,46,1,14,FALSE,8,car,14323.12806,0.156901687,OnTrack,-735.7071677,-1009.430831,647.596677
06:17.8,0 days 00:19:13.105000,,1.547104527,0 days 00:06:08.338000,5891,47,1,15,FALSE,8,pos,14324.92972,0.156921424,OnTrack,-740,-992,645
06:17.9,0 days 00:19:13.210000,,1.546751142,0 days 00:06:08.443000,6080,49,1,16,FALSE,8,car,14326.39472,0.156937472,OnTrack,-743.7966823,-978.6573445,644.3218482
06:18.0,0 days 00:19:13.285000,,1.546515552,0 days 00:06:08.518000,6393,51,1,20,FALSE,8,pos,14327.48764,0.156949444,OnTrack,-747,-969,644
06:18.2,0 days 00:19:13.565000,,1.546279962,0 days 00:06:08.798000,6707,53,1,25,FALSE,8,pos,14331.87752,0.156997533,OnTrack,-764,-931,641
06:18.3,0 days 00:19:13.610000,,1.546044372,0 days 00:06:08.843000,7021,56,1,30,FALSE,8,car,14332.61694,0.157005633,OnTrack,-767.4714447,-924.7475836,640.3971982
06:18.5,0 days 00:19:13.770000,,1.545337602,0 days 00:06:09.003000,7657,61,1,36,FALSE,8,car,14335.32806,0.157035331,OnTrack,-780.7876888,-902.9138212,638.1954393
06:18.5,0 days 00:19:13.785000,,1.544984217,0 days 00:06:09.018000,7880,63,1,39,FALSE,8,pos,14335.59202,0.157038223,OnTrack,-782,-901,638
06:18.6,0 days 00:19:13.930000,,1.544630832,0 days 00:06:09.163000,8103,66,1,42,FALSE,8,car,14338.26139,0.157067464,OnTrack,-794.1310159,-882.8790316,636.1142702
06:18.7,0 days 00:19:13.985000,,1.544395242,0 days 00:06:09.218000,8235,70,1,45,FALSE,8,pos,14339.34939,0.157079383,OnTrack,-802,-873,635
06:18.9,0 days 00:19:14.185000,,1.544159652,0 days 00:06:09.418000,8367,75,1,48,FALSE,8,pos,14343.67617,0.15712678,OnTrack,-846,-823,629
06:19.0,0 days 00:19:14.330000,,1.543924062,0 days 00:06:09.563000,8500,80,1,52,FALSE,8,car,14347.15028,0.157164837,OnTrack,-865.2570328,-802.039002,626.1336659
06:19.2,0 days 00:19:14.545000,,1.543570677,0 days 00:06:09.778000,9620,88,1,58,FALSE,8,pos,14352.79213,0.15722664,OnTrack,-894,-772,622
06:19.3,0 days 00:19:14.650000,,1.543217292,0 days 00:06:09.883000,10740,96,1,64,FALSE,8,car,14355.68361,0.157258315,OnTrack,-925.1788645,-738.7779451,618.0830517
06:19.4,0 days 00:19:14.765000,,1.542863907,0 days 00:06:09.998000,10600,98,1,62,FALSE,8,pos,14358.91521,0.157293715,OnTrack,-959,-703,614
06:19.5,0 days 00:19:14.850000,,1.542510522,0 days 00:06:10.083000,10460,101,1,61,FALSE,8,car,14361.29472,0.157319781,OnTrack,-973.8006296,-687.957952,612.3519492
06:19.8,0 days 00:19:15.085000,,1.542157137,0 days 00:06:10.318000,9461,98,1,30,FALSE,8,pos,14367.65283,0.157389431,OnTrack,-990,-663,611
06:19.9,0 days 00:19:15.249000,,1.541803752,0 days 00:06:10.482000,8462,96,2,0,FALSE,8,car,14371.93472,0.157436337,OnTrack,-1011.176642,-608.0984548,608.452616
06:20.1,0 days 00:19:15.405000,,1.541450367,0 days 00:06:10.638000,8212,93,2,0,FALSE,8,pos,14375.91065,0.157479891,OnTrack,-1029,-554,606
06:20.2,0 days 00:19:15.529000,,1.541096982,0 days 00:06:10.762000,7963,91,2,0,TRUE,8,car,14379.0125,0.15751387,OnTrack,-1033.437263,-530.031775,605.0435325
06:20.4,0 days 00:19:15.745000,,1.540743597,0 days 00:06:10.978000,7683,89,2,0,TRUE,8,pos,14384.30964,0.157571897,OnTrack,-1026,-505,603
06:20.5,0 days 00:19:15.809000,,1.540390212,0 days 00:06:11.042000,7403,88,2,0,FALSE,8,car,14385.85694,0.157588847,OnTrack,-1022.014213,-493.3211995,601.4243203
06:20.7,0 days 00:19:15.969000,,1.539683442,0 days 00:06:11.202000,6911,86,2,0,FALSE,8,car,14389.67917,0.157630717,OnTrack,-1008.709441,-455.8942357,595.8138679
06:20.8,0 days 00:19:16.085000,,1.539447852,0 days 00:06:11.318000,7036,85,2,0,FALSE,8,pos,14392.39037,0.157660417,OnTrack,-996,-431,593
06:20.8,0 days 00:19:16.165000,,1.539212261,0 days 00:06:11.398000,7161,84,2,0,FALSE,8,pos,14394.22219,0.157680483,OnTrack,-985,-416,592
06:20.9,0 days 00:19:16.209000,,1.538976671,0 days 00:06:11.442000,7287,83,2,0,FALSE,8,car,14395.2125,0.157691331,OnTrack,-976.3647368,-406.6747919,591.3032168
06:21.1,0 days 00:19:16.409000,,1.538269901,0 days 00:06:11.642000,7453,80,2,23,FALSE,8,car,14399.65694,0.157740018,OnTrack,-920.414453,-357.8288639,586.7053893
06:21.1,0 days 00:19:16.445000,,1.538034311,0 days 00:06:11.678000,7799,84,2,32,FALSE,8,pos,14400.49502,0.157749198,OnTrack,-912,-351,586
06:21.5,0 days 00:19:16.865000,,1.537798721,0 days 00:06:12.098000,8145,88,2,41,FALSE,8,pos,14411.3888,0.157868533,OnTrack,-852,-315,580
06:21.6,0 days 00:19:16.889000,,1.537563131,0 days 00:06:12.122000,8491,93,2,50,FALSE,8,car,14412.05694,0.157875853,OnTrack,-846.3625185,-312.2933786,579.3523508
06:21.8,0 days 00:19:17.105000,,1.537327541,0 days 00:06:12.338000,8924,97,2,55,FALSE,8,pos,14418.26178,0.157943823,OnTrack,-785,-281,571
06:21.8,0 days 00:19:17.125000,,1.537091951,0 days 00:06:12.358000,9357,101,2,61,FALSE,8,pos,14418.85571,0.157950329,OnTrack,-780,-278,570
06:21.9,0 days 00:19:17.209000,,1.536856361,0 days 00:06:12.442000,9790,105,2,67,FALSE,8,car,14421.39028,0.157978094,OnTrack,-758.7635724,-267.1230968,567.2893441
06:22.1,0 days 00:19:17.385000,,1.536502976,0 days 00:06:12.618000,10247,110,2,74,FALSE,8,pos,14426.92508,0.158038725,OnTrack,-711,-249,566
06:22.1,0 days 00:19:17.450000,,1.536149591,0 days 00:06:12.683000,10705,115,2,82,FALSE,8,car,14429.08889,0.158062428,OnTrack,-691.5180402,-241.3248069,564.9103744
06:22.3,0 days 00:19:17.625000,,1.535796206,0 days 00:06:12.858000,10837,121,2,84,FALSE,8,pos,14435.29857,0.158130451,OnTrack,-635,-219,561
06:22.5,0 days 00:19:17.770000,,1.535442821,0 days 00:06:13.003000,10969,128,2,87,TRUE,8,car,14440.46667,0.158187065,OnTrack,-585.8734843,-201.8301083,558.8366036
06:22.5,0 days 00:19:17.826000,,1.535207231,0 days 00:06:13.059000,10508,124,2,58,TRUE,8,pos,14442.38538,0.158208083,OnTrack,-567,-196,558
06:22.7,0 days 00:19:18.006000,,1.534971641,0 days 00:06:13.239000,10047,120,2,29,TRUE,8,pos,14448.24463,0.158272268,OnTrack,-509,-181,555
06:22.8,0 days 00:19:18.090000,,1.534736051,0 days 00:06:13.323000,9586,116,2,0,TRUE,8,car,14450.77778,0.158300017,OnTrack,-485.0325811,-175.6594815,554.0660163
06:23.0,0 days 00:19:18.286000,,1.534382666,0 days 00:06:13.519000,9024,107,2,0,TRUE,8,pos,14456.2024,0.158359441,OnTrack,-426,-169,552
06:23.0,0 days 00:19:18.330000,,1.534029281,0 days 00:06:13.563000,8463,99,2,0,TRUE,8,car,14457.37778,0.158372316,OnTrack,-408.4534652,-169.2075554,551.1063528
06:23.1,0 days 00:19:18.466000,,1.533675896,0 days 00:06:13.699000,8106,96,2,0,TRUE,8,pos,14460.97338,0.158411704,OnTrack,-353,-173,548
06:23.3,0 days 00:19:18.570000,,1.533322511,0 days 00:06:13.803000,7750,94,2,0,TRUE,8,car,14463.64444,0.158440964,OnTrack,-327.4656995,-177.3380071,546.7138456
