Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:08.5,0 days 00:20:03.850000,3,286.8630556,0 days 00:05:14.629000,7447,87,2,0,TRUE,8,car,11140.06056,0.311780026,OnTrack,-1024,-502,602
07:08.7,0 days 00:20:04.010000,3,293.7075,0 days 00:05:14.789000,7307,84,2,0,FALSE,8,car,11143.79389,0.311884512,OnTrack,-1021,-475,601
07:08.9,0 days 00:20:04.206000,3,298.9741667,0 days 00:05:14.985000,7285,83,2,0,FALSE,8,pos,11148.31952,0.312011172,OnTrack,-1010,-457,599
07:08.9,0 days 00:20:04.250000,3,304.2408333,0 days 00:05:15.029000,7264,83,2,0,FALSE,8,car,11149.32722,0.312039375,OnTrack,-1005,-450,597
07:09.1,0 days 00:20:04.466000,3,310.6575,0 days 00:05:15.245000,7206,82,2,6,FALSE,8,pos,11154.23507,0.312176732,OnTrack,-977,-408,591
07:09.2,0 days 00:20:04.530000,3,317.0741667,0 days 00:05:15.309000,7149,82,2,12,FALSE,8,car,11155.705,0.312217872,OnTrack,-966,-396,590
07:09.3,0 days 00:20:04.606000,3,322.6741667,0 days 00:05:15.385000,7381,83,2,21,FALSE,8,pos,11157.46936,0.312267251,OnTrack,-954,-384,590
07:09.5,0 days 00:20:04.770000,3,328.2741667,0 days 00:05:15.549000,7613,84,2,31,FALSE,8,car,11161.305,0.3123746,OnTrack,-924,-360,587
07:09.5,0 days 00:20:04.846000,3,332.0519444,0 days 00:05:15.625000,7445,84,2,34,FALSE,8,pos,11163.065,0.312423858,OnTrack,-910,-350,586
07:09.6,0 days 00:20:04.930000,3,335.8297222,0 days 00:05:15.709000,7278,84,2,37,FALSE,8,car,11165.03833,0.312479086,OnTrack,-894,-339,583
07:09.7,0 days 00:20:05.046000,3,341.3963889,0 days 00:05:15.825000,7763,87,2,42,FALSE,8,pos,11167.89308,0.312558983,OnTrack,-868,-324,580
07:09.9,0 days 00:20:05.170000,3,346.9630556,0 days 00:05:15.949000,8248,90,2,48,FALSE,8,car,11171.03833,0.31264701,OnTrack,-826,-301,575
